time,user_name,user_color,message
12,wanana404,#377C2D,"In realtà non è Twitch, è il tuo PC che chiede pietà saidogPOGGENbase"
14,gaiamel,#5F9EA0,"buonaseraaa💜"
17,usodabada,#FF69B4,""Ecco cosa succede a spegnere il computer. Mannaggia a me che ascolto la chat. La prossima volta non lo spengo più" [cit Cydonia]"
25,fanboy_del_cydo,#4C0E3E,"Buon sero chat"
28,worldofworgage,#00FF7F,"ok s'è ripreso"
29,the_klown89,#8A2BEB,"saidogHi saidogHi saidogHi"
36,bollets17,#B22222,"Buona seraa"
38,losermizi,#D797B9,"buonasera <3"
39,espeonage02,#8A2BE2,"buonasera a tuttiiiii"
45,kripto_je,#DAA520,"❤️"
46,siord1_,#FAC400,"saidogHi"
46,ancientgamer03,,"Programma stasera?"
46,streamlabs,#32C3A2,"Canale Telegram per rimanere sempre aggiornati: https://t.me/CydoniaChiara"
46,the_jack86,,"Via ingugghiamoci"
48,streamlabs,#32C3A2,"Segui con noi dal vivo l'EUIC 2025 direttamente a Londra (evento gratuito): https://www.eventbrite.com/e/biglietti-casting-italiano-del-campionato-internazionale-vgc-red-bull-gaming-sphere-1980630344678"
51,karu_sol13,#B22222,"Buonaseraaaa saidogHi"
54,lucia000e,,"si quando si"
57,evildwarf88,#FF0000,"APRI"
57,neashck,,"Toc Toc"
61,iamrealpeely_roberto,#0FFFB1,"Tutti inguggati anche oggi"
62,chriztia,,"eccoci"
63,matteo_carreri,,"matteo_carreri subscribed with Prime. They've subscribed for 75 months! "
66,midnightgamer__,#8A2BE2,"Buonaseraaa!! <3 saidogHi"
66,sirio12,#8A2BE2,"Halo"
68,chriztia,,"buonasera ragazzi"
74,mewtwitcher,#9C9C9C,"buon giorno di sole a tutti"
74,vcn02,#8A2BE2,"buonasera chat! TwitchUnity"
74,maziert,#0000FF,"Ma é una chat room o una back room questa?"
76,lelez_26,#1E90FF,"@midnightgamer__ ma buonaseraaaaaa cara KPOPheart <3 <3 <3"
76,setti94_,#FF7F50,"sooo ready"
78,midnightgamer__,#8A2BE2,"@sirio12 ciaooo!! <3 saidogHi"
84,ochiavica,#C09973,"BUONASEEEEERA saidogAngry"
85,krough96,,"Buonasera"
86,icaro_104,#2E8B57,"Buonasera <3 saidogVibe"
88,gt_electro,#0000FF,"Tempo di aprire quella porta"
88,midnightgamer__,#8A2BE2,"@chriztia ciaooo!! <3 saidogHi"
90,fenyxpoke,,"La notte del non umano"
92,nickbona72,,"Buon salve"
94,alaitiel,#FF7F50,"buonaseraaaaa"
97,midnightgamer__,#8A2BE2,"@lelez_26 ciaoooo!! <3 saidogHi"
102,danithepog,#1C4FB3,"buonasera a tutti!! saidogHi <3"
106,chriztia,,"@midnightgamer__ ciaoooooo <3 saidogHi"
114,midnightgamer__,#8A2BE2,"@vcn02 ciaoooo!! <3 saidogHi"
115,theonewhosawtheend,#FF0000,"saidogHi saidogHi saidogHi saidogHi"
118,ochiavica,#C09973,"Mi sa che ho saltato l’ultimo episodio, riassuntinoo? saidogCheck"
123,lycantroph1,,"lycantroph1 subscribed at Tier 1. They've subscribed for 30 months! "
123,neashck,,"Qualcuno che andrà a Londra per gli internazionali?"
132,giankao,#1E90FF,"popolo dell'internet, buona seraaaaa"
135,vcn02,#8A2BE2,"@midnightgamer__ ciaoooo cara!! buonasera!! AmbessaLove AmbessaLove TwitchUnity GoldPLZ"
135,evildwarf88,#FF0000,"Buonasera chat, ho passato bene un esame rognoso e ufficialmente mi manca un solo esame per finire la magistrale, volevo condividere con voi questa cosa, sono contenta e festeggio con l'apri <3"
140,chriztia,,"@maziert è una chat backroom"
142,shirayuri_ii,#8A2BE2,"Shirayuri_ii subscribed at Tier 1. They've subscribed for 44 months! "
146,nickebon___,#0000FF,"Ah, today we tavolo"
149,megahamburger420,,"saidogPipo saidogMax"
149,gaiamel,#5F9EA0,"@evildwarf88 oooo congratulazioniii💜💜💜"
149,ochiavica,#C09973,"@evildwarf88 Brav* saidogGodo"
151,rickyalby97,#FF0000,"rickyalby97 subscribed with Prime. They've subscribed for 27 months! buonasera, si torna bene dove si è sempre stati"
151,roki_niiyama,#00FF7F,"Roki_Niiyama subscribed at Tier 1. They've subscribed for 63 months, currently on a 63 month streak! Piccola coccola e riflessione: oggi sono 63 mesi di sub. In tutto questo tempo la tua voce è diventata molto più di un semplice audio di sottofondo: è diventata sinonimo di casa e di pausa dal mondo esterno. Anche se il nostro rapporto resta quello tra streamer e spettatore, la sensazione di 'nido' che riesci a trasmettere è ciò che mi mancherà di più quando si spegneranno le luci. Grazie di esserci sempre, Cydo."
154,giankao,#1E90FF,"come va? che si dice? che fate intanto che aspettate? :>"
159,worldofworgage,#00FF7F,"@evildwarf88 congratz!!!!"
165,fanboy_del_cydo,#4C0E3E,"fanboy_del_cydo watched 20 consecutive streams and sparked a watch streak! Il vero guggaggio"
174,zorothegallade,#008000,"ZorotheGallade subscribed with Prime. They've subscribed for 6 months! E buonasaera, finalmente finito con il trasloco e posso rilassarmi un pelo"
177,leovill_64,#008000,"buonasees"
183,wandox99,#8A2BE2,"Wandox99 subscribed at Tier 1. They've subscribed for 21 months! Buonasera, ma quindi il 27 avremo un episodio pilota?👀"
183,youngteeba,#8A2BE2,"youngteeba subscribed with Prime. They've subscribed for 43 months! "
184,evildwarf88,#FF0000,"<3 <3 <3 <3"
188,botz_kuro,#8A2BE2,"@evildwarf88 grande, complimenti vivissimi! intanto qui a preparare per la 3a volta lo stesso esame..."
190,mewtwitcher,#9C9C9C,"ma è la fine di i’m non a human oppure c’è altro?"
203,happytheplayer,#FF0000,"sborra sui vetri"
205,fantamaghiro,#FF0000,"Buonasera a tutti!"
205,fanboy_del_cydo,#4C0E3E,"@evildwarf88 Congratz DinoDance SquadUp"
208,evildwarf88,#FF0000,"@botz_kuro Dai, ce la puoi fare! Credo in te saidogProf saidogProf"
216,iamrealpeely_roberto,#0FFFB1,"iamrealpeely_roberto is gifting 5 Tier 1 Subs to Cydonia_Chiara's community! They've gifted a total of 18 in the channel! "
217,iamrealpeely_roberto,#0FFFB1,"iamrealpeely_roberto gifted a Tier 1 sub to nugget_masterii! "
217,iamrealpeely_roberto,#0FFFB1,"iamrealpeely_roberto gifted a Tier 1 sub to samuel_666! "
217,iamrealpeely_roberto,#0FFFB1,"iamrealpeely_roberto gifted a Tier 1 sub to popserious! "
217,iamrealpeely_roberto,#0FFFB1,"iamrealpeely_roberto gifted a Tier 1 sub to aang489! "
217,iamrealpeely_roberto,#0FFFB1,"iamrealpeely_roberto gifted a Tier 1 sub to minuial_! "
228,streamlabs,#32C3A2,"Il canale della Cantina: https://www.youtube.com/@LaCantinadiCydonia"
243,kira_alch3m,#DAA520,"Seraaaa~~"
244,botz_kuro,#8A2BE2,"@evildwarf88 Grazie HAHAHA <3"
249,ochiavica,#C09973,"@MewTwitcher il gioco andrebbe rigiocato, ha mooolti finali e molti “branch” narrativi, senza fare spoiler, ma è un roguelike con personaggi “generati casualmente” e possibilità diverse"
255,オカリン (remakebanword),#0000FF,"@MewTwitcher Fine no a meno che non faccia certe scelte che portano a determinati finali, ma se anche finissimo oggi in qualche modo farebbe un'altra run quasi sicuro"
261,gaiamel,#5F9EA0,"@oChiavica un tizio della fema ci ha portato via cacioppo e massimo, quindi i cultisti vogliono bruciarci casa, le sorelle sono safe"
264,iamrealpeely_roberto,#0FFFB1,"iamrealpeely_roberto is gifting 1 Tier 1 Subs to Cydonia_Chiara's community! They've gifted a total of 19 in the channel! "
264,iamrealpeely_roberto,#0FFFB1,"iamrealpeely_roberto gifted a Tier 1 sub to eevavav23! "
264,fanboy_del_cydo,#4C0E3E,"@Giankao Una grattata di palle"
279,aleksmoon05,#0000FF,"Sera gente"
280,cagasburratomaster,#8A2BE2,"Buonasera a tutti amici video spettatori saidogHi saidogHi saidogHi saidogHi"
280,zorothegallade,#008000,"Almeno siamo safe"
281,mewtwitcher,#9C9C9C,"@iamrealpeely_roberto graaande! grazie!"
284,krovaasreal,#00FF7F,"buonasera chat"
287,n0sramus,#00FF7F,"Buonasera a tuttiiii"
287,luke_nakamura,,"buonasera!"
288,streamlabs,#32C3A2,"Se hai Amazon Prime, puoi utilizzare Twitch Prime senza costi collegando il tuo account Amazon al tuo account Twitch. Accedi a https://twitch.amazon.com/tp Fai clic per collegare l'account Amazon all'account e avrai diritto ad una sub gratuita!"
288,vomitoimmortale,#9ACD32,"buonasera cari"
297,vanitas1991,#1E90FF,"Vanitas1991 subscribed at Tier 1. They've subscribed for 96 months! "
307,iamrealpeely_roberto,#0FFFB1,"@mewtwitcher di nulla <3"
309,gaiamel,#5F9EA0,"comunque questa musica è diventata stranamente molto rilassante"
310,frostthesasso,#FF9816,"sto tutto nel guggo"
318,tenkipk,,"TenkiPK watched 7 consecutive streams and sparked a watch streak! Sto tutto guggato"
322,giankao,#1E90FF,"Secondo voi siamo vicini alla fine di questa invasione?"
323,オカリン (remakebanword),#0000FF,"Il morbo di Guggenheim"
323,diansy,#997A8D,"Avemus guggo"
324,ludoprad00,,"ludoprad00 subscribed with Prime. They've subscribed for 41 months! "
334,goldiaaaa,,"buonasera anime belle! WhosThisDiva"
337,botz_kuro,#8A2BE2,"@gaiamel io la trovo moooolto malinconica, mi attrae in un modo veramente particolare..."
340,claudiotheowl,,"claudiotheowl subscribed with Prime. "
342,zodiark9,,"zodiark9 subscribed at Tier 1. They've subscribed for 48 months! "
343,fefo_fullpawasr,,"ooo"
343,alce_boh,#FFE800,"@WorldOfWorgage Buonaseras saidogVibe saidogHi"
344,gonfreeks,,"grazie meno male che cydo ha tardato oggi <3 buona sera <3 <3 <3"
346,vcn02,#8A2BE2,"ma le tre M ci friggono secondo voi?"
349,theonewhosawtheend,#FF0000,"RawkOut RawkOut"
359,maziert,#0000FF,"guggonia?"
364,marco_prinxe,,"Marco_Prinxe subscribed with Prime. They've subscribed for 10 months! "
365,sitornadovesiestati,,"Sevaa"
366,gaiamel,#5F9EA0,"@botz_kuro vero, vibes pianista che suona il piano in fiamma mentre guarda la fine del mondo"
367,fefo_fullpawasr,,"buonasera"
368,mickylalala,#FF69B4,"quanto sono puntuale oggi"
384,botz_kuro,#8A2BE2,"@gaiamel esatto hahahaha"
388,seigewm,#00FF7F,"Mai chiuso "la VERA storia della MegaEvoluzione: parte 2" così velocemente"
389,evildwarf88,#FF0000,"Amici secondo voi oggi si crepa sì o sì"
393,vcn02,#8A2BE2,"@SiTornaDoveSiEStati nick incredibile"
394,worldofworgage,#00FF7F,"@alce_boh ciao tato"
395,chriztia,,"@mickylalala puntualissima Kappa"
396,arvyem,#8A2BE2,"Apri"
398,naturalharmoniatropius,#00FF7F,"NaturalHarmoniaTropius subscribed at Tier 1. They've subscribed for 8 months! Ciao Cydo, ti voglio consigliare una serie analog horror chiamata The Walten Files. Usa personaggi ispirati a FNAF ma riesce a raccontare la sua storia senza bisogno di conoscere la lore dei giochi originali. Ha risvegliato in me la stessa paura del buio che avevo da bambino."
412,leonzannanera,#008000,"Oggi si chiude"
420,mickylalala,#FF69B4,"@chriztia ciao chri chrii <3 <3"
426,therottenbaby,#FF0000,"ciaooo"
426,chriztia,,"@SeigeWM fortunatamente me lo sono visto poco dopo mangiato hahahaha, video incredibile"
437,usodabada,#FF69B4,"usodabada watched 90 consecutive streams and sparked a watch streak! Mi sa che per il 27 Febbraio si superano le 100"
437,chriztia,,"@mickylalala ciao mickyyy <3 <3 <3"
446,begonia_rex_,#8AB4ED,"hellooo"
452,mewtwitcher,#9C9C9C,"vado a cenare e poi vi riraggiungo"
474,thenablin,#00FF7F,"Ciao raga , a me scatta la live , a voi?"
474,streamlabs,#32C3A2,"Canale Telegram per rimanere sempre aggiornati: https://t.me/CydoniaChiara"
476,chriztia,,"@MewTwitcher vada vada, che mangiare è importante"
489,luscoiatrollo,#FF7000,"Buonaseeeraaaaaaa saidogPepe saidogPepe saidogPepe"
496,krough96,,"saidogPalle"
503,midnightgamer__,#8A2BE2,"@worldofworgage ciaooo!! <3 saidogHi"
503,stardustlmao,#FF0000,"stardustlmao subscribed with Prime. They've subscribed for 4 months! Finalmente dopo aver recuperato questo gioco stupendo riesco a passare in live. Domande importanti: 1. Verde e Bufera si o no?2. Ma il 27 febbraio farai uscire il manuale sui tipi di seghe?3. Si torna sempre dove si è stati (ma dove si era prima?)"
503,s1l3n7_s,#2B96E3,"ciaoo"
503,mewtwitcher,#9C9C9C,"@chriztia Grazie e buona serata"
504,revollik,#D2691E,"Revollik subscribed with Prime. They've subscribed for 63 months! "
518,chriztia,,"@thenablin a me no, ma penso sia l'effetto messo al video per il countdown"
525,seigewm,#00FF7F,"@chriztia io per lavoro l'ho cominciato praticamente 10 minuti fa BigSad vorrà dire che me lo godrò domani, oggi mi godo No, I'm not a Human! XD"
525,the_klown89,#8A2BEB,"@LuScoiatrollo Facci vedere le mani, sei molto sus"
528,roki_niiyama,#00FF7F,"Ciuf ciuf ThatsAServe"
535,lucas37ster,#FF4500,"Raga, comunque sto gioco è molto realistico! I mezzi pubblici sono pieni di visitors con le ascelle guggate! Soprattutto d'estate! 😂"
538,thenablin,#00FF7F,"@chriztia nono mi da proprio la rotella di buffering"
543,thenablin,#00FF7F,"bo aggiorno e vedo"
549,d0ssssss,#00FF7F,"D0SSSSSS subscribed with Prime. They've subscribed for 65 months, currently on a 13 month streak! "
562,chriztia,,"@thenablin allora mi sa che è la tua connessione"
